Outlet_Establishment_Year,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Total_Revenue,Price_Range,Total_Sales_Year,Average_Sales_Year
2007,FDK38,6.7,Low Fat,0.05,Canned,149.77,OUT017,Medium,Tier 2,Supermarket Type1,2375.57,355789.12,Medium,2167465.52,2340.68
2004,FDG59,15.9,Low Fat,0.04,Starchy Foods,37.52,OUT035,Small,Tier 2,Supermarket Type1,270.31,10142.03,Low,2268123.09,2438.84
2009,FDQ56,6.6,Low Fat,0.11,Fruits and Veg,83.99,OUT018,Medium,Tier 3,Supermarket Type2,1426.14,119781.5,Medium,1851822.95,1995.5
2004,NCE06,5.8,Low Fat,0.09,Household,159.79,OUT035,Small,Tier 2,Supermarket Type1,1294.32,206819.39,High,2268123.09,2438.84
1998,FDK03,12.6,Regular,0.12,Dairy,253.04,OUT010,Medium,Tier 3,Grocery Store,254.34,64358.19,High,188340.22,339.35
1985,DRL11,10.5,Low Fat,0.05,Hard Drinks,156.59,OUT027,Medium,Tier 3,Supermarket Type3,3787.07,593017.29,High,3633620.22,2483.68
1985,DRK49,14.2,Low Fat,0.0,Soft Drinks,40.51,OUT019,Small,Tier 1,Grocery Store,40.61,1645.11,Low,3633620.22,2483.68
1987,FDE32,20.7,Low Fat,0.05,Fruits and Veg,38.75,OUT013,High,Tier 3,Supermarket Type1,227.7,8823.38,Low,2142663.66,2299.0
1998,FDQ40,11.1,Regular,0.06,Frozen Foods,175.87,OUT010,Medium,Tier 3,Grocery Store,175.77,30912.67,High,188340.22,339.35
1985,FDX28,6.3,Low Fat,0.0,Frozen Foods,100.7,OUT027,Medium,Tier 3,Supermarket Type3,3174.53,319675.17,Medium,3633620.22,2483.68
2002,FDR12,12.6,Regular,0.03,Baking Goods,172.98,OUT045,Medium,Tier 2,Supermarket Type1,2233.09,386279.91,High,2036725.6,2192.38
1985,FDH08,7.5,Low Fat,0.03,Fruits and Veg,227.8,OUT019,Small,Tier 1,Grocery Store,459.4,104651.32,High,3633620.22,2483.68
2004,FDR43,18.2,Low Fat,0.16,Fruits and Veg,37.82,OUT035,Small,Tier 2,Supermarket Type1,256.33,9694.4,Low,2268123.09,2438.84
2002,NCY29,13.7,Low Fat,0.08,Health and Hygiene,54.69,OUT045,Medium,Tier 2,Supermarket Type1,679.12,37141.07,Low,2036725.6,2192.38
2004,FDP40,4.6,Regular,0.03,Frozen Foods,112.75,OUT035,Small,Tier 2,Supermarket Type1,1789.67,201785.29,Medium,2268123.09,2438.84
1998,FDT04,17.3,Low Fat,0.0,Frozen Foods,37.58,OUT010,Medium,Tier 3,Grocery Store,196.41,7381.09,Low,188340.22,339.35
2002,NCY17,18.2,Low Fat,0.0,Health and Hygiene,44.11,OUT045,Medium,Tier 2,Supermarket Type1,1115.22,49192.35,Low,2036725.6,2192.38
2002,NCA06,20.5,Low Fat,0.14,Household,37.22,OUT045,Medium,Tier 2,Supermarket Type1,476.05,17718.58,Low,2036725.6,2192.38
1985,FDY02,8.9,Regular,0.15,Dairy,264.09,OUT019,Small,Tier 1,Grocery Store,262.99,69453.03,High,3633620.22,2483.68
2007,FDS33,6.7,Regular,0.12,Snack Foods,88.95,OUT017,Medium,Tier 2,Supermarket Type1,2125.23,189039.21,Medium,2167465.52,2340.68
1985,FDH21,10.4,Low Fat,0.03,Seafood,157.56,OUT027,Medium,Tier 3,Supermarket Type3,5704.57,898812.05,High,3633620.22,2483.68
1999,FDG12,6.6,Regular,0.01,Baking Goods,121.81,OUT049,Medium,Tier 1,Supermarket Type1,2048.67,249548.49,Medium,2183969.98,2348.35
1987,DRF37,17.3,Low Fat,0.08,Soft Drinks,261.59,OUT013,High,Tier 3,Supermarket Type1,3418.88,894344.82,High,2142663.66,2299.0
2004,FDU04,7.9,Low Fat,0.01,Frozen Foods,121.54,OUT035,Small,Tier 2,Supermarket Type1,1340.26,162895.2,Medium,2268123.09,2438.84
1999,FDS36,8.4,Regular,0.05,Baking Goods,111.86,OUT049,Medium,Tier 1,Supermarket Type1,2966.14,331792.42,Medium,2183969.98,2348.35
2002,FDN12,15.6,Low Fat,0.08,Baking Goods,110.25,OUT045,Medium,Tier 2,Supermarket Type1,1789.67,197311.12,Medium,2036725.6,2192.38
2002,FDH60,19.7,Regular,0.0,Baking Goods,197.91,OUT045,Medium,Tier 2,Supermarket Type1,1767.7,349845.51,High,2036725.6,2192.38
2004,FDS19,13.8,Regular,0.06,Fruits and Veg,75.8,OUT035,Small,Tier 2,Supermarket Type1,1138.52,86299.82,Medium,2268123.09,2438.84
2009,DRG49,7.8,Low Fat,0.07,Soft Drinks,242.65,OUT018,Medium,Tier 3,Supermarket Type2,2199.14,533621.32,High,1851822.95,1995.5
2007,FDB36,5.5,Regular,0.05,Baking Goods,132.16,OUT017,Medium,Tier 2,Supermarket Type1,1573.95,208013.23,Medium,2167465.52,2340.68
1999,FDF34,9.3,Regular,0.01,Snack Foods,199.11,OUT049,Medium,Tier 1,Supermarket Type1,396.82,79010.83,High,2183969.98,2348.35
1998,FDP25,15.2,Low Fat,0.04,Canned,216.78,OUT010,Medium,Tier 3,Grocery Store,436.76,94680.83,High,188340.22,339.35
2007,DRY23,9.4,Regular,0.11,Soft Drinks,41.31,OUT017,Medium,Tier 2,Supermarket Type1,255.67,10561.73,Low,2167465.52,2340.68
2009,FDH53,20.5,Regular,0.02,Frozen Foods,82.86,OUT018,Medium,Tier 3,Supermarket Type2,1733.74,143657.7,Medium,1851822.95,1995.5
1985,DRI51,17.3,Low Fat,0.04,Dairy,172.68,OUT027,Medium,Tier 3,Supermarket Type3,6183.95,1067844.49,High,3633620.22,2483.68
2009,FDO31,6.8,Regular,0.03,Fruits and Veg,80.7,OUT018,Medium,Tier 3,Supermarket Type2,559.27,45133.09,Medium,1851822.95,1995.5
2004,FDZ15,13.1,Low Fat,0.0,Dairy,117.88,OUT035,Small,Tier 2,Supermarket Type1,2741.1,323120.87,Medium,2268123.09,2438.84
1999,FDN15,17.5,Low Fat,0.02,Meat,141.62,OUT049,Medium,Tier 1,Supermarket Type1,2097.27,297015.38,Medium,2183969.98,2348.35
2002,FDR59,14.5,Regular,0.06,Breads,260.46,OUT045,Medium,Tier 2,Supermarket Type1,5494.85,1431188.63,High,2036725.6,2192.38
2004,DRG01,14.8,Low Fat,0.04,Soft Drinks,76.47,OUT035,Small,Tier 2,Supermarket Type1,1531.34,117101.57,Medium,2268123.09,2438.84
1985,FDN21,18.6,Low Fat,0.08,Snack Foods,163.12,OUT027,Medium,Tier 3,Supermarket Type3,2416.85,394236.57,High,3633620.22,2483.68
2004,FDV39,11.3,Low Fat,0.01,Meat,196.74,OUT035,Small,Tier 2,Supermarket Type1,2768.4,544655.02,High,2268123.09,2438.84
1985,FDT22,10.4,Low Fat,0.11,Snack Foods,59.82,OUT027,Medium,Tier 3,Supermarket Type3,1677.82,100367.19,Low,3633620.22,2483.68
1999,NCL18,18.9,Low Fat,0.17,Household,193.91,OUT049,Medium,Tier 1,Supermarket Type1,3110.62,603180.32,High,2183969.98,2348.35
1985,NCX30,16.7,Low Fat,0.05,Household,248.68,OUT019,Small,Tier 1,Grocery Store,495.36,123186.12,High,3633620.22,2483.68
1998,FDE26,9.3,Low Fat,0.15,Canned,143.08,OUT010,Medium,Tier 3,Grocery Store,288.96,41344.4,Medium,188340.22,339.35
1998,FDD26,8.7,Regular,0.12,Canned,186.59,OUT010,Medium,Tier 3,Grocery Store,555.28,103609.7,High,188340.22,339.35
1985,FDD05,19.3,Low Fat,0.03,Frozen Foods,122.01,OUT019,Small,Tier 1,Grocery Store,361.53,44110.28,Medium,3633620.22,2483.68
1999,FDN57,18.3,Low Fat,0.05,Snack Foods,140.92,OUT049,Medium,Tier 1,Supermarket Type1,6381.69,899307.75,Medium,2183969.98,2348.35
2007,FDN24,14.1,Low Fat,0.11,Baking Goods,53.4,OUT017,Medium,Tier 2,Supermarket Type1,982.72,52477.25,Low,2167465.52,2340.68
2002,FDM28,15.7,Low Fat,0.05,Frozen Foods,181.37,OUT045,Medium,Tier 2,Supermarket Type1,1977.43,358646.48,High,2036725.6,2192.38
1987,NCW53,18.4,Low Fat,0.03,Health and Hygiene,191.32,OUT013,High,Tier 3,Supermarket Type1,1346.91,257690.82,High,2142663.66,2299.0
1985,FDJ32,10.7,Low Fat,0.06,Fruits and Veg,62.55,OUT027,Medium,Tier 3,Supermarket Type3,1592.59,99616.5,Low,3633620.22,2483.68
1985,FDS01,11.6,Low Fat,0.02,Canned,175.97,OUT027,Medium,Tier 3,Supermarket Type3,5866.36,1032303.37,High,3633620.22,2483.68
2004,FDV38,19.3,Low Fat,0.1,Dairy,55.2,OUT035,Small,Tier 2,Supermarket Type1,491.36,27123.07,Low,2268123.09,2438.84
1998,FDY21,15.1,Low Fat,0.0,Snack Foods,197.21,OUT010,Medium,Tier 3,Grocery Store,196.41,38734.02,High,188340.22,339.35
1985,FDX04,19.6,Regular,0.07,Frozen Foods,49.44,OUT019,Small,Tier 1,Grocery Store,191.75,9480.12,Low,3633620.22,2483.68
1997,FDX24,8.4,Low Fat,0.01,Baking Goods,94.15,OUT046,Small,Tier 1,Supermarket Type1,2221.11,209117.51,Medium,2118395.35,2277.84
1997,FDD44,8.1,Regular,0.08,Fruits and Veg,259.06,OUT046,Small,Tier 1,Supermarket Type1,4380.3,1134760.52,High,2118395.35,2277.84
1997,FDX55,15.1,Low Fat,0.06,Fruits and Veg,219.42,OUT046,Small,Tier 1,Supermarket Type1,6096.06,1337597.49,High,2118395.35,2277.84
1985,FDB22,8.0,Low Fat,0.11,Snack Foods,155.1,OUT027,Medium,Tier 3,Supermarket Type3,2768.4,429378.84,High,3633620.22,2483.68
2009,FDS60,20.9,Low Fat,0.03,Baking Goods,180.07,OUT018,Medium,Tier 3,Supermarket Type2,2157.19,388445.2,High,1851822.95,1995.5
1997,DRM11,6.6,Low Fat,0.07,Hard Drinks,261.03,OUT046,Small,Tier 1,Supermarket Type1,4165.24,1087252.6,High,2118395.35,2277.84
2007,FDL20,17.1,Low Fat,0.13,Fruits and Veg,109.49,OUT017,Medium,Tier 2,Supermarket Type1,1667.83,182610.71,Medium,2167465.52,2340.68
1985,FDG10,6.6,Regular,0.02,Snack Foods,57.66,OUT019,Small,Tier 1,Grocery Store,400.81,23110.7,Low,3633620.22,2483.68
2004,FDC32,18.4,Low Fat,0.1,Fruits and Veg,94.05,OUT035,Small,Tier 2,Supermarket Type1,555.28,52224.08,Medium,2268123.09,2438.84
1985,NCT42,5.9,Low Fat,0.02,Household,151.04,OUT027,Medium,Tier 3,Supermarket Type3,3281.06,495571.3,High,3633620.22,2483.68
1985,FDX26,17.7,Low Fat,0.09,Dairy,180.43,OUT027,Medium,Tier 3,Supermarket Type3,4013.44,724144.98,High,3633620.22,2483.68
2004,FDS57,15.5,Low Fat,0.1,Snack Foods,144.85,OUT035,Small,Tier 2,Supermarket Type1,1717.76,248817.54,Medium,2268123.09,2438.84
1997,FDY40,15.5,Regular,0.09,Frozen Foods,49.67,OUT046,Small,Tier 1,Supermarket Type1,788.31,39155.36,Low,2118395.35,2277.84
2002,FDW02,4.8,Regular,0.0,Dairy,123.97,OUT045,Medium,Tier 2,Supermarket Type1,2253.07,279313.09,Medium,2036725.6,2192.38
1997,FDE23,17.6,Regular,0.0,Starchy Foods,46.01,OUT046,Small,Tier 1,Supermarket Type1,326.24,15010.3,Low,2118395.35,2277.84
1987,FDH21,10.4,Low Fat,0.03,Seafood,159.46,OUT013,High,Tier 3,Supermarket Type1,316.92,50536.06,High,2142663.66,2299.0
2007,FDH53,20.5,Regular,0.0,Frozen Foods,83.26,OUT017,Medium,Tier 2,Supermarket Type1,1155.83,96234.41,Medium,2167465.52,2340.68
2002,FDQ39,14.8,Low Fat,0.08,Meat,189.28,OUT045,Medium,Tier 2,Supermarket Type1,1719.76,325516.17,High,2036725.6,2192.38
1987,FDF22,6.9,Low Fat,0.06,Snack Foods,214.52,OUT013,High,Tier 3,Supermarket Type1,2778.38,596018.08,High,2142663.66,2299.0
1999,FDL58,5.8,Regular,0.07,Snack Foods,264.76,OUT049,Medium,Tier 1,Supermarket Type1,4745.82,1256503.3,High,2183969.98,2348.35
2007,DRE49,20.8,Low Fat,0.02,Soft Drinks,153.0,OUT017,Medium,Tier 2,Supermarket Type1,2277.04,348387.12,High,2167465.52,2340.68
2009,NCM41,16.5,Low Fat,0.04,Health and Hygiene,92.61,OUT018,Medium,Tier 3,Supermarket Type2,559.27,51793.99,Medium,1851822.95,1995.5
2004,FDR58,6.7,Low Fat,0.04,Snack Foods,90.75,OUT035,Small,Tier 2,Supermarket Type1,1665.83,151174.07,Medium,2268123.09,2438.84
2009,FDY51,12.5,Low Fat,0.08,Meat,220.78,OUT018,Medium,Tier 3,Supermarket Type2,6611.39,1459662.68,High,1851822.95,1995.5
2004,DRE13,6.3,Low Fat,0.03,Soft Drinks,87.92,OUT035,Small,Tier 2,Supermarket Type1,1221.08,107357.35,Medium,2268123.09,2438.84
1985,FDO36,19.7,Low Fat,0.08,Baking Goods,180.87,OUT027,Medium,Tier 3,Supermarket Type3,3235.79,585257.34,High,3633620.22,2483.68
2007,NCA05,20.8,Low Fat,0.03,Health and Hygiene,146.67,OUT017,Medium,Tier 2,Supermarket Type1,445.42,65329.75,Medium,2167465.52,2340.68
2002,FDD59,10.5,Regular,0.07,Starchy Foods,78.3,OUT045,Medium,Tier 2,Supermarket Type1,2157.19,168907.98,Medium,2036725.6,2192.38
1998,NCN43,12.2,Low Fat,0.01,Others,122.97,OUT010,Medium,Tier 3,Grocery Store,123.17,15146.21,Medium,188340.22,339.35
1999,FDG17,6.9,Regular,0.04,Frozen Foods,244.45,OUT049,Medium,Tier 1,Supermarket Type1,6353.06,1553005.52,High,2183969.98,2348.35
1997,NCV41,14.4,Low Fat,0.02,Health and Hygiene,112.52,OUT046,Small,Tier 1,Supermarket Type1,1989.41,223848.41,Medium,2118395.35,2277.84
1985,NCX05,15.2,Low Fat,0.17,Health and Hygiene,116.25,OUT019,Small,Tier 1,Grocery Store,115.85,13467.56,Medium,3633620.22,2483.68
2009,NCB55,15.7,Low Fat,0.16,Household,57.56,OUT018,Medium,Tier 3,Supermarket Type2,829.59,47751.2,Low,1851822.95,1995.5
1987,FDX45,16.8,Low Fat,0.1,Snack Foods,155.16,OUT013,High,Tier 3,Supermarket Type1,2972.8,461259.65,High,2142663.66,2299.0
2002,FDA02,14.0,Regular,0.03,Dairy,146.38,OUT045,Medium,Tier 2,Supermarket Type1,866.87,126892.43,Medium,2036725.6,2192.38
1997,FDA32,14.0,Low Fat,0.03,Fruits and Veg,215.72,OUT046,Small,Tier 1,Supermarket Type1,1078.6,232675.59,High,2118395.35,2277.84
1985,FDA38,5.4,Low Fat,0.04,Dairy,241.15,OUT019,Small,Tier 1,Grocery Store,480.71,115923.22,High,3633620.22,2483.68
2007,FDO45,13.2,Regular,0.04,Snack Foods,89.49,OUT017,Medium,Tier 2,Supermarket Type1,1230.4,110108.5,Medium,2167465.52,2340.68
2007,FDP10,19.0,Low Fat,0.13,Snack Foods,107.66,OUT017,Medium,Tier 2,Supermarket Type1,1164.48,125367.92,Medium,2167465.52,2340.68
1999,DRB24,8.8,Low Fat,0.02,Soft Drinks,155.17,OUT049,Medium,Tier 1,Supermarket Type1,4016.11,623179.79,High,2183969.98,2348.35
1985,FDV08,7.3,Low Fat,0.03,Fruits and Veg,43.55,OUT027,Medium,Tier 3,Supermarket Type3,755.02,32881.12,Low,3633620.22,2483.68
2004,NCI31,20.0,Low Fat,0.08,Others,37.82,OUT035,Small,Tier 2,Supermarket Type1,439.43,16619.24,Low,2268123.09,2438.84
1985,FDQ52,17.0,Low Fat,0.12,Frozen Foods,248.84,OUT027,Medium,Tier 3,Supermarket Type3,6705.27,1668539.39,High,3633620.22,2483.68
1987,DRA59,8.3,Regular,0.13,Soft Drinks,185.99,OUT013,High,Tier 3,Supermarket Type1,555.28,103276.53,High,2142663.66,2299.0
2009,FDX02,16.0,Low Fat,0.06,Dairy,224.34,OUT018,Medium,Tier 3,Supermarket Type2,4500.81,1009711.72,High,1851822.95,1995.5
2004,FDB36,5.5,Regular,0.05,Baking Goods,132.96,OUT035,Small,Tier 2,Supermarket Type1,2360.93,313909.25,Medium,2268123.09,2438.84
2004,NCP30,20.5,Low Fat,0.03,Household,40.08,OUT035,Small,Tier 2,Supermarket Type1,1257.03,50381.76,Low,2268123.09,2438.84
2009,DRD12,7.0,Low Fat,0.08,Soft Drinks,92.31,OUT018,Medium,Tier 3,Supermarket Type2,1094.58,101040.68,Medium,1851822.95,1995.5
2009,FDU10,10.1,Regular,0.05,Snack Foods,38.58,OUT018,Medium,Tier 3,Supermarket Type2,484.7,18699.73,Low,1851822.95,1995.5
1997,FDH04,6.1,Regular,0.01,Frozen Foods,89.65,OUT046,Small,Tier 1,Supermarket Type1,1267.68,113647.51,Medium,2118395.35,2277.84
1985,FDR44,6.1,Regular,0.1,Fruits and Veg,131.5,OUT027,Medium,Tier 3,Supermarket Type3,1565.96,205923.74,Medium,3633620.22,2483.68
1999,FDT21,7.4,Low Fat,0.02,Snack Foods,249.01,OUT049,Medium,Tier 1,Supermarket Type1,2988.11,744069.27,High,2183969.98,2348.35
2009,FDC21,14.6,Regular,0.04,Fruits and Veg,109.73,OUT018,Medium,Tier 3,Supermarket Type2,651.15,71450.69,Medium,1851822.95,1995.5
1987,FDA36,6.0,Low Fat,0.01,Baking Goods,186.59,OUT013,High,Tier 3,Supermarket Type1,2591.29,483508.8,High,2142663.66,2299.0
1999,FDD14,20.7,Low Fat,0.17,Canned,183.83,OUT049,Medium,Tier 1,Supermarket Type1,1844.27,339032.15,High,2183969.98,2348.35
2002,FDD17,7.5,Low Fat,0.03,Frozen Foods,238.79,OUT045,Medium,Tier 2,Supermarket Type1,4040.74,964888.3,High,2036725.6,2192.38
2004,FDB11,16.0,Low Fat,0.06,Starchy Foods,226.84,OUT035,Small,Tier 2,Supermarket Type1,6301.13,1429348.33,High,2268123.09,2438.84
1987,FDG45,8.1,Low Fat,0.13,Fruits and Veg,211.49,OUT013,High,Tier 3,Supermarket Type1,3610.63,763612.14,High,2142663.66,2299.0
2007,FDL32,15.7,Regular,0.12,Fruits and Veg,110.15,OUT017,Medium,Tier 2,Supermarket Type1,1230.4,135528.56,Medium,2167465.52,2340.68
1987,NCP50,17.4,Low Fat,0.02,Others,80.56,OUT013,High,Tier 3,Supermarket Type1,322.25,25960.46,Medium,2142663.66,2299.0
1985,DRE12,4.6,Low Fat,0.07,Soft Drinks,112.89,OUT027,Medium,Tier 3,Supermarket Type3,2942.84,332217.21,Medium,3633620.22,2483.68
1997,FDO57,20.8,Low Fat,0.11,Snack Foods,161.76,OUT046,Small,Tier 1,Supermarket Type1,2888.24,467201.7,High,2118395.35,2277.84
1998,FDV28,16.1,Regular,0.27,Frozen Foods,34.96,OUT010,Medium,Tier 3,Grocery Store,67.91,2374.13,Low,188340.22,339.35
2009,NCF42,17.4,Low Fat,0.17,Household,176.27,OUT018,Medium,Tier 3,Supermarket Type2,1230.4,216882.61,High,1851822.95,1995.5
2004,FDI45,13.1,Low Fat,0.04,Fruits and Veg,174.21,OUT035,Small,Tier 2,Supermarket Type1,3677.21,640606.75,High,2268123.09,2438.84
1997,DRF36,16.1,Low Fat,0.02,Soft Drinks,192.68,OUT046,Small,Tier 1,Supermarket Type1,2866.27,552272.9,High,2118395.35,2277.84
2004,FDC51,10.9,Regular,0.01,Dairy,121.67,OUT035,Small,Tier 2,Supermarket Type1,1970.77,239783.59,Medium,2268123.09,2438.84
2002,FDP45,15.7,Regular,0.03,Snack Foods,253.47,OUT045,Medium,Tier 2,Supermarket Type1,1510.03,382747.3,High,2036725.6,2192.38
2009,FDJ38,8.6,Regular,0.04,Canned,189.75,OUT018,Medium,Tier 3,Supermarket Type2,2846.3,540085.43,High,1851822.95,1995.5
2009,FDF02,16.2,Low Fat,0.1,Canned,101.3,OUT018,Medium,Tier 3,Supermarket Type2,1857.58,188172.85,Medium,1851822.95,1995.5
2002,NCC54,17.8,Low Fat,0.1,Health and Hygiene,242.12,OUT045,Medium,Tier 2,Supermarket Type1,4097.33,992045.54,High,2036725.6,2192.38
2007,FDX04,19.6,Regular,0.04,Frozen Foods,48.84,OUT017,Medium,Tier 2,Supermarket Type1,527.31,25753.82,Low,2167465.52,2340.68
1998,NCO06,19.3,Low Fat,0.18,Household,35.96,OUT010,Medium,Tier 3,Grocery Store,67.91,2442.04,Low,188340.22,339.35
1987,FDY16,18.4,Regular,0.09,Frozen Foods,184.83,OUT013,High,Tier 3,Supermarket Type1,3872.96,715839.2,High,2142663.66,2299.0
2002,FDB26,14.0,Regular,0.03,Canned,52.36,OUT045,Medium,Tier 2,Supermarket Type1,745.7,39044.85,Low,2036725.6,2192.38
2004,NCH54,13.5,Low Fat,0.07,Household,157.79,OUT035,Small,Tier 2,Supermarket Type1,3994.8,630339.49,High,2268123.09,2438.84
2009,FDF12,8.2,Low Fat,0.08,Baking Goods,146.51,OUT018,Medium,Tier 3,Supermarket Type2,1625.88,238207.68,Medium,1851822.95,1995.5
1997,FDM28,15.7,Low Fat,0.05,Frozen Foods,180.27,OUT046,Small,Tier 1,Supermarket Type1,1617.89,291657.03,High,2118395.35,2277.84
1985,FDS13,6.5,Low Fat,0.22,Canned,266.59,OUT019,Small,Tier 1,Grocery Store,1324.94,353215.75,High,3633620.22,2483.68
1997,FDR49,8.7,Low Fat,0.14,Canned,49.54,OUT046,Small,Tier 1,Supermarket Type1,1198.44,59370.72,Low,2118395.35,2277.84
1999,FDG09,20.6,Regular,0.05,Fruits and Veg,187.76,OUT049,Medium,Tier 1,Supermarket Type1,3004.09,564047.94,High,2183969.98,2348.35
1985,FDD51,11.2,Low Fat,0.12,Dairy,45.27,OUT027,Medium,Tier 3,Supermarket Type3,905.49,40991.53,Low,3633620.22,2483.68
2004,FDH56,9.8,Regular,0.06,Fruits and Veg,117.35,OUT035,Small,Tier 2,Supermarket Type1,810.94,95163.81,Medium,2268123.09,2438.84
1999,DRE37,13.5,Low Fat,0.09,Soft Drinks,190.99,OUT049,Medium,Tier 1,Supermarket Type1,2836.31,541706.85,High,2183969.98,2348.35
2009,FDK55,18.5,Low Fat,0.03,Meat,88.92,OUT018,Medium,Tier 3,Supermarket Type2,1695.13,150730.96,Medium,1851822.95,1995.5
2007,FDR01,5.4,Regular,0.05,Canned,198.27,OUT017,Medium,Tier 2,Supermarket Type1,4379.63,868349.24,High,2167465.52,2340.68
1997,FDK24,9.2,Low Fat,0.1,Baking Goods,46.27,OUT046,Small,Tier 1,Supermarket Type1,1086.59,50276.52,Low,2118395.35,2277.84
2002,FDF09,6.2,Low Fat,0.01,Fruits and Veg,36.48,OUT045,Medium,Tier 2,Supermarket Type1,447.42,16321.88,Low,2036725.6,2192.38
1985,FDK09,15.2,Low Fat,0.09,Snack Foods,230.74,OUT027,Medium,Tier 3,Supermarket Type3,8474.3,1955359.98,High,3633620.22,2483.68
1997,FDE38,6.5,Low Fat,0.04,Canned,164.28,OUT046,Small,Tier 1,Supermarket Type1,2818.33,462995.25,High,2118395.35,2277.84
1985,FDO46,9.6,Regular,0.01,Snack Foods,187.39,OUT027,Medium,Tier 3,Supermarket Type3,2836.31,531496.13,High,3633620.22,2483.68
1987,FDD58,7.8,Low Fat,0.06,Snack Foods,98.77,OUT013,High,Tier 3,Supermarket Type1,1697.79,167690.72,Medium,2142663.66,2299.0
2009,NCK31,10.9,Low Fat,0.03,Others,50.27,OUT018,Medium,Tier 3,Supermarket Type2,820.27,41234.97,Low,1851822.95,1995.5
1985,FDT24,12.3,Regular,0.0,Baking Goods,75.93,OUT027,Medium,Tier 3,Supermarket Type3,3012.08,228707.23,Medium,3633620.22,2483.68
1999,FDL10,8.4,Low Fat,0.04,Snack Foods,99.1,OUT049,Medium,Tier 1,Supermarket Type1,2579.31,255609.62,Medium,2183969.98,2348.35
1997,FDR28,13.9,Regular,0.03,Frozen Foods,165.02,OUT046,Small,Tier 1,Supermarket Type1,4078.03,672956.51,High,2118395.35,2277.84
1985,FDQ04,6.4,Low Fat,0.15,Frozen Foods,41.58,OUT019,Small,Tier 1,Grocery Store,41.28,1716.42,Low,3633620.22,2483.68
1998,FDB15,10.9,Low Fat,0.23,Dairy,263.46,OUT010,Medium,Tier 3,Grocery Store,527.31,138925.09,High,188340.22,339.35
1998,FDD29,12.2,Low Fat,0.03,Frozen Foods,252.07,OUT010,Medium,Tier 3,Grocery Store,1014.68,255770.39,High,188340.22,339.35
1999,DRK23,8.4,Low Fat,0.07,Hard Drinks,253.7,OUT049,Medium,Tier 1,Supermarket Type1,4554.07,1155367.56,High,2183969.98,2348.35
2004,FDW13,8.5,Low Fat,0.1,Canned,51.13,OUT035,Small,Tier 2,Supermarket Type1,1350.24,69037.77,Low,2268123.09,2438.84
1987,FDG34,11.5,Regular,0.04,Snack Foods,106.93,OUT013,High,Tier 3,Supermarket Type1,3038.71,324929.26,Medium,2142663.66,2299.0
2004,NCJ30,5.8,Low Fat,0.08,Household,168.38,OUT035,Small,Tier 2,Supermarket Type1,1188.45,200111.21,High,2268123.09,2438.84
1987,FDO36,19.7,Low Fat,0.08,Baking Goods,179.17,OUT013,High,Tier 3,Supermarket Type1,3056.02,547547.1,High,2142663.66,2299.0
1999,FDP22,14.7,Regular,0.1,Snack Foods,49.87,OUT049,Medium,Tier 1,Supermarket Type1,563.93,28123.19,Low,2183969.98,2348.35
1997,FDG29,17.6,Low Fat,0.06,Frozen Foods,42.55,OUT046,Small,Tier 1,Supermarket Type1,419.45,17847.6,Low,2118395.35,2277.84
1985,DRG48,5.8,Low Fat,0.01,Soft Drinks,143.91,OUT027,Medium,Tier 3,Supermarket Type3,3062.01,440653.86,Medium,3633620.22,2483.68
2002,FDG14,9.0,Regular,0.05,Canned,150.9,OUT045,Medium,Tier 2,Supermarket Type1,4402.27,664302.54,High,2036725.6,2192.38
1985,DRJ39,20.3,Low Fat,0.04,Dairy,219.55,OUT027,Medium,Tier 3,Supermarket Type3,5695.25,1250392.14,High,3633620.22,2483.68
2002,NCG54,12.1,Low Fat,0.08,Household,170.81,OUT045,Medium,Tier 2,Supermarket Type1,4619.99,789140.49,High,2036725.6,2192.38
2004,FDY13,12.1,Low Fat,0.03,Canned,78.07,OUT035,Small,Tier 2,Supermarket Type1,2220.44,173349.75,Medium,2268123.09,2438.84
2002,FDR37,16.5,Regular,0.07,Breakfast,180.43,OUT045,Medium,Tier 2,Supermarket Type1,2189.15,394988.33,High,2036725.6,2192.38
2009,FDP22,14.7,Regular,0.1,Snack Foods,52.27,OUT018,Medium,Tier 3,Supermarket Type2,615.2,32156.5,Low,1851822.95,1995.5
1985,FDU19,8.8,Regular,0.05,Fruits and Veg,172.04,OUT027,Medium,Tier 3,Supermarket Type3,4828.38,830674.5,High,3633620.22,2483.68
1987,FDY03,17.6,Regular,0.08,Meat,111.82,OUT013,High,Tier 3,Supermarket Type1,2025.36,226475.76,Medium,2142663.66,2299.0
1985,DRI03,6.0,Low Fat,0.0,Dairy,175.3,OUT027,Medium,Tier 3,Supermarket Type3,3719.16,651968.75,High,3633620.22,2483.68
2002,FDY59,8.2,Low Fat,0.03,Baking Goods,91.85,OUT045,Medium,Tier 2,Supermarket Type1,2313.66,212509.67,Medium,2036725.6,2192.38
2009,NCH29,5.5,Low Fat,0.0,Health and Hygiene,98.97,OUT018,Medium,Tier 3,Supermarket Type2,1565.96,154983.06,Medium,1851822.95,1995.5
